Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	InSPI2_R1 raw countings	InSPI2_R2 raw countings	LSP_R1 raw countings	LSP_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_016810.1	Protein Homology	CDS	10841	11245	.	-	0	ID=cds-WP_001258094.1;Parent=gene-SL1344_RS00055;Dbxref=GenBank:WP_001258094.1;Name=WP_001258094.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459016.1;locus_tag=SL1344_RS00055;product=DUF2541 family protein;protein_id=WP_001258094.1;transl_table=11	2.0	1.5	0	0	0.5298572259253	0.98622405283287	2.19709983053695	0.448875394338292	0.653521546953278	NA
sense	NC_016810.1	Protein Homology	CDS	11593	13509	.	+	0	ID=cds-WP_000516125.1;Parent=gene-SL1344_RS00060;Dbxref=GenBank:WP_000516125.1;Name=WP_000516125.1;Ontology_term=GO:0006457,GO:0005524,GO:0016887;gbkey=CDS;gene=dnaK;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA;go_process=protein folding|0006457||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_001737966.1;locus_tag=SL1344_RS00060;product=molecular chaperone DnaK;protein_id=WP_000516125.1;transl_table=11	391.0	227.5	17.0	9.0	92.0946843008463	2.7754652438456	0.570676649056215	4.86346383444227	1.15349109602282e-06	1.0132561726871e-05
sense	NC_016810.1	Protein Homology	CDS	13595	14734	.	+	0	ID=cds-WP_001119009.1;Parent=gene-SL1344_RS00065;Dbxref=GenBank:WP_001119009.1;Name=WP_001119009.1;Ontology_term=GO:0006457,GO:0009408,GO:0005515,GO:0005524;gbkey=CDS;gene=dnaJ;go_function=protein binding|0005515||IEA,ATP binding|0005524||IEA;go_process=protein folding|0006457||IEA,response to heat|0009408||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459018.1;locus_tag=SL1344_RS00065;product=molecular chaperone DnaJ;protein_id=WP_001119009.1;transl_table=11	89.0	61.0	6.0	7.0	25.7702292532177	1.67297744120007	0.730720909891611	2.28948893969413	0.0220509598093014	0.0596941077317387
sense	NC_016810.1	Protein Homology	CDS	15014	15961	.	+	0	ID=cds-WP_000534902.1;Parent=gene-SL1344_RS00070;Dbxref=GenBank:WP_000534902.1;Name=WP_000534902.1;Ontology_term=GO:0001216,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA-binding transcription activator activity|0001216||IEA,DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459019.1;locus_tag=SL1344_RS00070;product=LysR family transcriptional regulator;protein_id=WP_000534902.1;transl_table=11	7.0	4.0	3.0	0.5	2.55281302362306	0.218782186346766	1.58598452288812	0.137947239200265	0.890282115781262	NA
sense	NC_016810.1	Protein Homology	CDS	16088	16432	.	+	0	ID=cds-WP_000026889.1;Parent=gene-SL1344_RS00075;Dbxref=GenBank:WP_000026889.1;Name=WP_000026889.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459020.1;locus_tag=SL1344_RS00075;product=phage holin family protein;protein_id=WP_000026889.1;transl_table=11	0	1.0	2.0	1.0	1.43866862066112	-2.44089703212413	1.90905059685513	-1.2785921107304	0.201040729585769	NA
sense	NC_016810.1	Protein Homology	CDS	16493	17026	.	-	0	ID=cds-WP_001068132.1;Parent=gene-SL1344_RS00080;Dbxref=GenBank:WP_001068132.1;Name=WP_001068132.1;Ontology_term=GO:0004553;gbkey=CDS;go_function=hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459021.1;locus_tag=SL1344_RS00080;product=glycoside hydrolase family 108 protein;protein_id=WP_001068132.1;transl_table=11	2.0	0	2.0	0	0.995399047848305	-1.11896043368942	2.07392490981798	-0.539537583252054	0.589515971476435	NA
sense	NC_016810.1	Protein Homology	CDS	17043	17486	.	-	0	ID=cds-WP_000860682.1;Parent=gene-SL1344_RS00085;Dbxref=GenBank:WP_000860682.1;Name=WP_000860682.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459022.1;locus_tag=SL1344_RS00085;product=winged helix-turn-helix domain-containing protein;protein_id=WP_000860682.1;transl_table=11	0	0	0	1.0	0.553340959850161	-1.65789557731268	2.22607633141914	-0.744761333613282	0.456416013719896	NA
sense	NC_016810.1	Protein Homology	CDS	17867	19966	.	+	0	ID=cds-WP_000235798.1;Parent=gene-SL1344_RS00090;Dbxref=GenBank:WP_000235798.1;Name=WP_000235798.1;Ontology_term=GO:0005975;gbkey=CDS;go_process=carbohydrate metabolic process|0005975||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459023.1;locus_tag=SL1344_RS00090;product=glycosyl hydrolase family 18 protein;protein_id=WP_000235798.1;transl_table=11	4.0	5.0	31.0	20.0	23.8201475034652	-4.10597516161223	0.788043599480776	-5.21034009326078	1.88494782107604e-07	1.95166590546465e-06
sense	NC_016810.1	Protein Homology	CDS	20058	23054	.	+	0	ID=cds-WP_000155792.1;Parent=gene-SL1344_RS00095;Dbxref=GenBank:WP_000155792.1;Name=WP_000155792.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459024.1;locus_tag=SL1344_RS00095;product=chitinase;protein_id=WP_000155792.1;transl_table=11	0.6111111111111112	2.25	4.25	4.0	4.10901916102255	-2.84628107440533	1.37332409046569	-2.07254871167385	0.0382142984165785	0.09138069930885
sense	NC_016810.1	Protein Homology	CDS	23335	24039	.	+	0	ID=cds-WP_000738617.1;Parent=gene-SL1344_RS00100;Dbxref=GenBank:WP_000738617.1;Name=WP_000738617.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459025.1;locus_tag=SL1344_RS00100;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_000738617.1;transl_table=11	2.0	1.0	2.0	1.0	1.68866862066112	-1.42197392315158	1.72776969873702	-0.823011263706632	0.410501588128989	NA
sense	NC_016810.1	Protein Homology	CDS	24469	25011	.	+	0	ID=cds-WP_000743357.1;Parent=gene-SL1344_RS00105;Dbxref=GenBank:WP_000743357.1;Name=WP_000743357.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459026.1;locus_tag=SL1344_RS00105;product=fimbrial protein BcfA;protein_id=WP_000743357.1;transl_table=11	1.3333333333333333	0	1.0	1.0	1.05104048377431	-1.99314098752503	2.02331445503914	-0.985087109203927	0.324581284756375	NA
sense	NC_016810.1	Protein Homology	CDS	25112	25798	.	+	0	ID=cds-WP_000742554.1;Parent=gene-SL1344_RS00110;Dbxref=GenBank:WP_000742554.1;Name=WP_000742554.1;gbkey=CDS;gene=bcfB;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459027.1;locus_tag=SL1344_RS00110;product=fimbrial biogenesis chaperone BcfB;protein_id=WP_000742554.1;transl_table=11	0	1.0	2.0	0	0.885327660810955	-1.63078707144144	2.11902372112137	-0.769593589343324	0.441541008941985	NA
sense	NC_016810.1	Protein Homology	CDS	25803	28424	.	+	0	ID=cds-WP_001245854.1;Parent=gene-SL1344_RS00115;Dbxref=GenBank:WP_001245854.1;Name=WP_001245854.1;gbkey=CDS;gene=bcfC;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459028.1;locus_tag=SL1344_RS00115;product=fimbrial usher BcfC;protein_id=WP_001245854.1;transl_table=11	2.333333333333333	3.1666666666666665	7.166666666666666	3.4047619047619047	4.9387053859075	-2.46363477051063	1.24821584689491	-1.97372495841903	0.0484130256189528	0.108694818323327
sense	NC_016810.1	Protein Homology	CDS	28425	29432	.	+	0	ID=cds-WP_000701247.1;Parent=gene-SL1344_RS00120;Dbxref=GenBank:WP_000701247.1;Name=WP_000701247.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459029.1;locus_tag=SL1344_RS00120;product=fimbrial protein BcfD;protein_id=WP_000701247.1;transl_table=11	2.0	0.5	0	2.0	1.35668191970032	-1.47739477211239	1.99101738783285	-0.742030070224791	0.458069116847937	NA
sense	NC_016810.1	Protein Homology	CDS	29433	29978	.	+	0	ID=cds-WP_001082039.1;Parent=gene-SL1344_RS00125;Dbxref=GenBank:WP_001082039.1;Name=WP_001082039.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459030.1;locus_tag=SL1344_RS00125;product=fimbrial protein BcfE;protein_id=WP_001082039.1;transl_table=11	0	0	0	0	0	NA	NA	NA	NA	NA
sense	NC_016810.1	Protein Homology	CDS	29994	30512	.	+	0	ID=cds-WP_001243232.1;Parent=gene-SL1344_RS00130;Dbxref=GenBank:WP_001243232.1;Name=WP_001243232.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459031.1;locus_tag=SL1344_RS00130;product=fimbrial protein BcfF;protein_id=WP_001243232.1;transl_table=11	1.0	0	0	0	0.125	-0.172742749466886	2.21280387618353	-0.0780650971042311	0.937776270912358	NA
sense	NC_016810.1	Protein Homology	CDS	30478	31209	.	+	0	ID=cds-WP_001135039.1;Parent=gene-SL1344_RS00135;Dbxref=GenBank:WP_001135039.1;Name=WP_001135039.1;gbkey=CDS;gene=bcfG;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459032.1;locus_tag=SL1344_RS00135;product=fimbrial chaperone BcfG;protein_id=WP_001135039.1;transl_table=11	1.0	0	0.5	0	0.125	-0.172742749466886	2.21280387618353	-0.0780650971042311	0.937776270912358	NA
sense	NC_016810.1	Protein Homology	CDS	31274	32119	.	+	0	ID=cds-WP_000291392.1;Parent=gene-SL1344_RS00140;Dbxref=GenBank:WP_000291392.1;Name=WP_000291392.1;Ontology_term=GO:0015036;gbkey=CDS;go_function=disulfide oxidoreductase activity|0015036||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459033.1;locus_tag=SL1344_RS00140;product=DsbA family protein;protein_id=WP_000291392.1;transl_table=11	6.722222222222221	3.111111111111111	1.0	1.4444444444444446	2.22082632266226	0.432724672824224	1.61564229361711	0.267834454776149	0.788826748229424	NA
sense	NC_016810.1	Protein Homology	CDS	32158	32445	.	+	0	ID=cds-WP_000839833.1;Parent=gene-SL1344_RS00145;Dbxref=GenBank:WP_000839833.1;Name=WP_000839833.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_000839835.1;locus_tag=SL1344_RS00145;product=hypothetical protein;protein_id=WP_000839833.1;transl_table=11	0	0	9.0	2.0	4.46097763501769	-5.45753159645347	1.67524035041922	-3.25776035366374	0.00112295195162078	0.00501252478553096
sense	NC_016810.1	Protein Homology	CDS	32545	32994	.	-	0	ID=cds-WP_001250362.1;Parent=gene-SL1344_RS00150;Dbxref=GenBank:WP_001250362.1;Name=WP_001250362.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459034.1;locus_tag=SL1344_RS00150;product=winged helix-turn-helix domain-containing protein;protein_id=WP_001250362.1;transl_table=11	0	0	1.0	1.0	0.926040483774313	-2.83993077683088	2.12511809390874	-1.33636374607652	0.181430410053031	NA
sense	NC_016810.1	Protein Homology	CDS	33364	34368	.	+	0	ID=cds-WP_001247395.1;Parent=gene-SL1344_RS00155;Dbxref=GenBank:WP_001247395.1;Name=WP_001247395.1;Ontology_term=GO:0006355,GO:0003677,GO:0003700;gbkey=CDS;go_function=DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459035.1;locus_tag=SL1344_RS00155;product=LysR family transcriptional regulator;protein_id=WP_001247395.1;transl_table=11	2.0	3.0	3.0	2.0	2.89456633036073	-1.52695331753787	1.45572689224067	-1.04892842584474	0.294211061448218	NA
sense	NC_016810.1	Protein Homology	CDS	34376	34816	.	-	0	ID=cds-WP_000158347.1;Parent=gene-SL1344_RS00160;Dbxref=GenBank:WP_000158347.1;Name=WP_000158347.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459036.1;locus_tag=SL1344_RS00160;product=winged helix-turn-helix domain-containing protein;protein_id=WP_000158347.1;transl_table=11	2.0	1.0	0	0	0.38992861296265	0.647844415724876	2.2254703368697	0.29110449372968	0.770971403193209	NA
sense	NC_016810.1	Protein Homology	CDS	35339	37057	.	+	0	ID=cds-WP_001036514.1;Parent=gene-SL1344_RS00165;Dbxref=GenBank:WP_001036514.1;Name=WP_001036514.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459037.1;locus_tag=SL1344_RS00165;product=aryl-sulfate sulfotransferase;protein_id=WP_001036514.1;transl_table=11	5.0	5.5	8.0	4.0	6.65953170856976	-1.72679598995602	1.07762266735675	-1.60241246056154	0.109064431199597	0.207064354886191
sense	NC_016810.1	Protein Homology	CDS	37103	38674	.	-	0	ID=cds-WP_000262866.1;Parent=gene-SL1344_RS00170;Dbxref=GenBank:WP_000262866.1;Name=WP_000262866.1;Ontology_term=GO:0009166,GO:0000166,GO:0008253,GO:0042578,GO:0046872;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,5'-nucleotidase activity|0008253||IEA,phosphoric ester hydrolase activity|0042578||IEA,metal ion binding|0046872||IEA;go_process=nucleotide catabolic process|0009166||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459038.1;locus_tag=SL1344_RS00170;product=bifunctional metallophosphatase/5'-nucleotidase;protein_id=WP_000262866.1;transl_table=11	7.0	5.0	6.0	2.0	4.91752212805849	-1.02672260942885	1.19929853038256	-0.856102616169589	0.39194102169345	0.532663305156127
sense	NC_016810.1	Protein Homology	CDS	38773	39534	.	-	0	ID=cds-WP_000791534.1;Parent=gene-SL1344_RS00175;Dbxref=GenBank:WP_000791534.1;Name=WP_000791534.1;Ontology_term=GO:0009279;gbkey=CDS;go_component=cell outer membrane|0009279||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459039.1;locus_tag=SL1344_RS00175;product=outer membrane protein OmpK;protein_id=WP_000791534.1;transl_table=11	0	0	2.0	2.0	1.85208096754863	-4.00799973349289	1.91561055060396	-2.09228317949556	0.0364131914744749	NA
sense	NC_016810.1	Protein Homology	CDS	40131	41624	.	+	0	ID=cds-WP_000831880.1;Parent=gene-SL1344_RS00180;Dbxref=GenBank:WP_000831880.1;Name=WP_000831880.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459040.1;locus_tag=SL1344_RS00180;product=sulfatase;protein_id=WP_000831880.1;transl_table=11	5.0	4.0	13.0	12.0	12.6698997810665	-3.12183192875908	0.909312000024861	-3.43318017212324	0.000596545539776338	0.00289435058187779
sense	NC_016810.1	Protein Homology	CDS	41723	42913	.	+	0	ID=cds-WP_000971148.1;Parent=gene-SL1344_RS00185;Dbxref=GenBank:WP_000971148.1;Name=WP_000971148.1;Ontology_term=GO:0018209,GO:0046500,GO:0016491,GO:0051539;gbkey=CDS;go_function=oxidoreductase activity|0016491||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA;go_process=peptidyl-serine modification|0018209||IEA,S-adenosylmethionine metabolic process|0046500||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459041.1;locus_tag=SL1344_RS00185;product=anaerobic sulfatase maturase;protein_id=WP_000971148.1;transl_table=11	2.0	2.0	0	1.0	1.08319818577546	0.0743748385420783	1.98543042743611	0.0374603096206814	0.970117986253618	NA
sense	NC_016810.1	Protein Homology	CDS	42932	44185	.	+	0	ID=cds-WP_001055835.1;Parent=gene-SL1344_RS00190;Dbxref=GenBank:WP_001055835.1;Name=WP_001055835.1;Ontology_term=GO:0003677,GO:0008270;gbkey=CDS;go_function=DNA binding|0003677||IEA,zinc ion binding|0008270||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459042.1;locus_tag=SL1344_RS00190;product=transposase-like zinc-binding domain-containing protein;protein_id=WP_001055835.1;transl_table=11	0	0	1.0	0	0.372699523924152	-1.42650536627452	2.21232452630238	-0.644799327275346	0.519057237947985	NA
sense	NC_016810.1	Protein Homology	CDS	44312	46027	.	+	0	ID=cds-WP_001094892.1;Parent=gene-SL1344_RS00195;Dbxref=GenBank:WP_001094892.1;Name=WP_001094892.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459043.1;locus_tag=SL1344_RS00195;product=aryl-sulfate sulfotransferase;protein_id=WP_001094892.1;transl_table=11	21.0	2.0	13.0	6.0	11.0699967960402	-1.40656827856455	1.03000875808584	-1.36558865885617	0.1720681082193	0.289955934040688
sense	NC_016810.1	Protein Homology	CDS	46190	47356	.	+	0	ID=cds-WP_000681340.1;Parent=gene-SL1344_RS00200;Dbxref=GenBank:WP_000681340.1;Name=WP_000681340.1;Ontology_term=GO:0006814,GO:0006885,GO:0015385,GO:0016020;gbkey=CDS;gene=nhaA;go_component=membrane|0016020||IEA;go_function=sodium:proton antiporter activity|0015385||IEA;go_process=sodium ion transport|0006814||IEA,regulation of pH|0006885||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459044.1;locus_tag=SL1344_RS00200;product=Na+/H+ antiporter NhaA;protein_id=WP_000681340.1;transl_table=11	50.0	45.7	6.0	11.0	21.0096638981786	0.632206467727807	0.761460218225905	0.830255412686902	0.406394391448814	0.545905618116486
sense	NC_016810.1	Protein Homology	CDS	47418	48317	.	+	0	ID=cds-WP_000062872.1;Parent=gene-SL1344_RS00205;Dbxref=GenBank:WP_000062872.1;Name=WP_000062872.1;Ontology_term=GO:0006355,GO:0003700;gbkey=CDS;gene=nhaR;go_function=DNA-binding transcription factor activity|0003700||IEA;go_process=regulation of DNA-templated transcription|0006355||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459045.1;locus_tag=SL1344_RS00205;product=transcriptional activator NhaR;protein_id=WP_000062872.1;transl_table=11	19.0	22.5	2.0	0	6.19882853302661	2.42602096299781	1.32235093231612	1.83462718081091	0.0665609484865022	0.139183529153795
sense	NC_016810.1	Protein Homology	CDS	48372	50411	.	-	0	ID=cds-WP_001116457.1;Parent=gene-SL1344_RS00210;Dbxref=GenBank:WP_001116457.1;Name=WP_001116457.1;Ontology_term=GO:0005975,GO:0004553;gbkey=CDS;go_function=hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA;go_process=carbohydrate metabolic process|0005975||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459046.1;locus_tag=SL1344_RS00210;product=TIM-barrel domain-containing protein;protein_id=WP_001116457.1;transl_table=11	3.25	3.5	2.0	1.0	2.23345445954907	-0.421842186338659	1.57331785130356	-0.26812267209016	0.788604894753179	NA
sense	NC_016810.1	Protein Homology	CDS	50451	51824	.	-	0	ID=cds-WP_000099996.1;Parent=gene-SL1344_RS00215;Dbxref=GenBank:WP_000099996.1;Name=WP_000099996.1;Ontology_term=GO:0055085,GO:0022857,GO:0016020;gbkey=CDS;go_component=membrane|0016020||IEA;go_function=transmembrane transporter activity|0022857||IEA;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459047.1;locus_tag=SL1344_RS00215;product=MFS transporter;protein_id=WP_000099996.1;transl_table=11	0	0.5	0	1.0	0.553340959850161	-1.65789557731268	2.22607633141914	-0.744761333613282	0.456416013719896	NA
sense	NC_016810.1	Protein Homology	CDS	52280	52543	.	-	0	ID=cds-WP_001518655.1;Parent=gene-SL1344_RS00220;Dbxref=GenBank:WP_001518655.1;Name=WP_001518655.1;Ontology_term=GO:0006412,GO:0003723,GO:0003735,GO:0005840;gbkey=CDS;gene=rpsT;go_component=ribosome|0005840||IEA;go_function=RNA binding|0003723||IEA,structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_006117633.1;locus_tag=SL1344_RS00220;product=30S ribosomal protein S20;protein_id=WP_001518655.1;transl_table=11	460.0	573.5	7.0	12.0	147.068012026232	3.88165941650526	0.591787321687407	6.55921354556431	5.40922943953492e-11	1.41721811315815e-09
sense	NC_016810.1	Protein Homology	CDS	52649	52864	.	+	0	ID=cds-WP_001575565.1;Parent=gene-SL1344_RS00225;Dbxref=GenBank:WP_001575565.1;Name=WP_001575565.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:NP_459049.1;locus_tag=SL1344_RS00225;product=YaaY family protein;protein_id=WP_001575565.1;transl_table=11	2.0	1.5	0	0	0.5298572259253	0.98622405283287	2.19709983053695	0.448875394338292	0.653521546953278	NA
